"Stadtteile (9)","Stadtteil","Alter","","evangelisch","römisch-katholisch","sonstige/keine Religion","men","women","deutsch","nichtdeutsch","Deutsch ohne Zuwanderungsgeschichte","Deutsch mit Zuwanderungsgeschichte","nichtdeutsch","Gesamt"
"","","89","89 Jahre",85,31,26,48,94,136,6,104,32,6,142
"","","90","90 Jahre",95,38,16,52,97,144,5,123,21,5,149
"","","91","91 Jahre",49,32,10,28,63,87,4,70,17,4,91
"","","92","92 Jahre",44,34,15,33,60,92,1,76,16,1,93
"","","93","93 Jahre",40,24,8,10,62,72,"0",62,10,"0",72
"","","94","94 Jahre",38,6,12,16,40,52,4,48,4,4,56
"","","95","95 Jahre",24,16,6,11,35,45,1,41,4,1,46
"","","96","96 Jahre",21,9,3,10,23,33,"0",27,6,"0",33
"","","97","97 Jahre",14,5,2,2,19,21,"0",20,1,"0",21
"","","98","98 Jahre",6,9,2,3,14,16,1,15,1,1,17
"","","99","99 Jahre oder �lter",14,4,3,3,18,21,"0",19,2,"0",21
"","","Summe","",14.875,11.648,35.466,31.433,30.556,42.241,19.748,26.540,15.701,19.748,61.989
"003","B�ckingen","00","0 Jahre",13,11,203,117,110,178,49,58,120,49,227
"","","01","1 Jahr",38,24,206,126,142,225,43,73,152,43,268
"","","02","2 Jahre",35,29,185,119,130,206,43,59,147,43,249
"","","03","3 Jahre",34,16,173,110,113,175,48,43,132,48,223
"","","04","4 Jahre",36,27,150,114,99,170,43,48,122,43,213
"","","05","5 Jahre",45,35,154,118,116,194,40,50,144,40,234
"","","06","6 Jahre",32,37,141,110,100,176,34,47,129,34,210
"","","07","7 Jahre",54,32,129,110,105,168,47,61,107,47,215
"","","08","8 Jahre",28,38,139,100,105,166,39,31,135,39,205
"","","09","9 Jahre",51,32,146,114,115,174,55,43,131,55,229
"","","10","10 Jahre",36,47,137,128,92,180,40,49,131,40,220
"","","11","11 Jahre",40,35,118,94,99,151,42,45,106,42,193
"","","12","12 Jahre",39,44,141,120,104,181,43,42,139,43,224
"","","13","13 Jahre",62,38,118,108,110,185,33,73,112,33,218
"","","14","14 Jahre",42,44,118,99,105,171,33,49,122,33,204
"","","15","15 Jahre",69,35,119,120,103,186,37,61,125,37,223
"","","16","16 Jahre",79,45,130,117,137,209,45,78,131,45,254
"","","17","17 Jahre",56,48,116,105,115,172,48,75,97,48,220
"","","18","18 Jahre",48,47,119,117,97,163,51,83,80,51,214
"","","19","19 Jahre",77,45,136,147,111,174,84,112,62,84,258
"","","20","20 Jahre",68,56,140,153,111,156,108,95,61,108,264
"","","21","21 Jahre",72,61,147,140,140,171,109,115,56,109,280
