stop_id,stop_name,stop_lat,stop_lon
de:08125:521:0:>NSU,"Amorbach, Landesstraße,Amorbach (Neckarsulm",49.208695,9.249665
de:08125:521:0:>Neue,"Amorbach, Landesstraße,Amorbach (Neckarsulm",49.208560,9.249584
de:08125:523:0:>Amor,Plattenwald (Kr HN) Europapl.,49.213213,9.243952
de:08125:523:0:>West,Plattenwald (Kr HN) Europapl.,49.213225,9.243979
de:08125:524:0:>Ost,Plattenwald (Kr HN) Ehrlichst.,49.212750,9.239218
de:08125:524:0:>West,Plattenwald (Kr HN) Ehrlichst.,49.212820,9.239218
de:08125:525:0:0,"Neckarsulm, Heilbronner Str. Süd,Neckarsulm",49.180382,9.223973
de:08125:5393:0:>Bhf,"Neckarsulm, Museum,Neckarsulm",49.191614,9.222734
de:08125:5393:0:>Mark,"Neckarsulm, Museum,Neckarsulm",49.191784,9.222832
de:08125:5402:0:1,Neuhütten Vogelheide,49.108749,9.488419
de:08125:5402:0:2,Neuhütten Vogelheide,49.108749,9.488419
de:08125:5403,Neuhütten Grundschule,49.110201,9.490773
de:08125:5405,Eschenau Schloß,49.137050,9.404454
de:08125:5407,Eschenau Köberleweg,49.136645,9.407445
de:08125:5409:0:1,Eschenau Schwabenstraße,49.139836,9.405253
de:08125:5411,Eschenau Bergstraße,49.138725,9.408945
de:08125:543,"Lampoldshausen, Waldstraße,Lampoldshausen",49.265337,9.398516
de:08125:544,"Kochersteinsfeld, Rathaus,Kochersteinsfeld",49.241983,9.403079
de:08125:545:0:>Ost,"Gochsen, Hauptstraße,Gochsen",49.241865,9.364757
de:08125:545:0:>West,"Gochsen, Hauptstraße,Gochsen",49.241965,9.364739
de:08125:546:0:>Ost,"Bürg, Krone,Neuenstadt a Kocher",49.243296,9.337062
de:08125:546:0:>West,"Bürg, Krone,Neuenstadt a Kocher",49.243431,9.337008
de:08125:547:1:01,"Neuenstadt (K), ZOB Lindenplatz,Neuenstadt a Kocher",49.237021,9.331340
de:08125:547:2:02,"Neuenstadt (K), ZOB Lindenplatz,Neuenstadt a Kocher",49.236651,9.331555
de:08125:547:3:03,"Neuenstadt (K), ZOB Lindenplatz,Neuenstadt a Kocher",49.236687,9.331376
de:08125:547:4:04,"Neuenstadt (K), ZOB Lindenplatz,Neuenstadt a Kocher",49.236769,9.331385
de:08125:547:5:05,"Neuenstadt (K), ZOB Lindenplatz,Neuenstadt a Kocher",49.236868,9.331250
de:08125:547:6:06,"Neuenstadt (K), ZOB Lindenplatz,Neuenstadt a Kocher",49.237138,9.331367
